2018/05/30 17:17:47.202 [D] load conf succ ,config:&{debug ./logs/logagent.log 100 192.168.1.102:9092 [{/Users/yjw/go/src/log_sys/logagent/logs/logagent.log nginx_log}]}
2018/05/30 17:17:47.202 [D] init tailf succ
2018/05/30 17:17:47.204 [D] init kafka succ
2018/05/30 17:17:47.204 [D] initialize all succ
2018/05/30 17:17:47.204 [D] test for logger 0,
2018/05/30 17:17:48.209 [D] test for logger 1,
2018/05/30 17:17:49.210 [D] test for logger 2,
2018/05/30 17:17:50.211 [D] test for logger 3,
2018/05/30 17:17:51.213 [D] test for logger 4,
2018/05/30 17:17:52.216 [D] test for logger 5,
2018/05/30 17:17:53.219 [D] test for logger 6,
2018/05/30 17:17:54.220 [D] test for logger 7,
2018/05/30 17:17:55.226 [D] test for logger 8,
2018/05/30 17:17:56.231 [D] test for logger 9,
